ANP,URL,Worker Resposes,,,,STDev/Img,STDev/ANP,Mean/Img,Mean/ANP
actual_day,http://farm9.static.flickr.com/8141/7347208722_8427870638.jpg,-1,1,1,,1.154700538,0.866025404,0.333333333,1
adopted_dog,http://farm4.static.flickr.com/3584/3490695075_f18e5a43e1.jpg,1,-1,2,,1.527525232,,0.666666667,
adopted_dog,http://farm8.static.flickr.com/7089/7172006741_2875c580aa.jpg,1,1,-1,,1.154700538,,0.333333333,
adopted_dog,http://farm9.static.flickr.com/8033/8052824039_cfc5ce13eb.jpg,1,1,1,,0,1,1,0.666666667
adorable_animals,http://farm4.static.flickr.com/3380/3236400536_9aac024d7b.jpg,-1,0,0,,0.577350269,,-0.333333333,
adorable_animals,http://farm4.static.flickr.com/3697/9167111313_70029c8ec5.jpg,2,0,1,,1,,1,
adorable_animals,http://farm6.static.flickr.com/5493/12175217093_f40e02b809.jpg,2,1,2,,0.577350269,1.092906421,1.666666667,0.777777778
adorable_cat,http://farm3.static.flickr.com/2092/5822895287_a4aee6108d.jpg,0,1,1,,0.577350269,,0.666666667,
adorable_cat,http://farm5.static.flickr.com/4059/4428744890_876d29eff7.jpg,0,1,1,,0.577350269,,0.666666667,
adorable_cat,http://farm6.static.flickr.com/5610/14925689173_20da866763.jpg,1,0,0,,0.577350269,0.527046277,0.333333333,0.555555556
adorable_critters,http://farm3.static.flickr.com/2293/2349020894_555d88c7e8.jpg,1,0,1,,0.577350269,,0.666666667,
adorable_critters,http://farm4.static.flickr.com/3106/3160707806_58515420e8.jpg,1,1,,,0,,1,
adorable_critters,http://farm9.static.flickr.com/8330/8120438626_b0bed59c30.jpg,1,0,1,,0.577350269,0.46291005,0.666666667,0.777777778
adult_entertainment,http://farm4.static.flickr.com/3166/2945704553_ecd066f2e9.jpg,1,1,0,,0.577350269,,0.666666667,
adult_entertainment,http://farm5.static.flickr.com/4029/4595094869_75018674a0.jpg,0,1,-1,,1,,0,
adult_entertainment,http://farm5.static.flickr.com/4117/4852004430_fed57d60a5.jpg,0,0,0,,0,0.666666667,0,0.222222222
adult_male,http://farm3.static.flickr.com/2926/14124359362_4e411f1a47.jpg,1,1,0,,0.577350269,,0.666666667,
adult_male,http://farm6.static.flickr.com/5544/14470170992_b2aa80ab52.jpg,1,1,1,,0,,1,
adult_male,http://farm7.static.flickr.com/6080/6122349204_e4f84dd98d.jpg,1,1,1,,0,0.333333333,1,0.888888889
advisory_board,http://farm3.static.flickr.com/2934/13544821473_522669b195.jpg,1,0,1,,0.577350269,,0.666666667,
advisory_board,http://farm7.static.flickr.com/6105/6289144815_b4bd525a46.jpg,1,0,1,,0.577350269,,0.666666667,
advisory_board,http://farm9.static.flickr.com/8403/8758378399_4d6f730227.jpg,1,1,0,,0.577350269,0.5,0.666666667,0.666666667
aerial_dance,http://farm6.static.flickr.com/5573/14835885966_a198497707.jpg,1,1,1,,0,,1,
aerial_dance,http://farm7.static.flickr.com/6138/5995213037_9d0196b3fc.jpg,1,0,0,,0.577350269,,0.333333333,
aerial_dance,http://farm9.static.flickr.com/8232/8442906366_934bb012c3.jpg,1,0,0,,0.577350269,0.527046277,0.333333333,0.555555555
aerial_hoop,http://farm3.static.flickr.com/2704/4341163374_bc8ccd999c.jpg,1,1,0,,0.577350269,,0.666666667,
aerial_hoop,http://farm4.static.flickr.com/3761/9190345734_c2e2ec042e.jpg,1,2,-1,,1.527525232,,0.666666667,
aerial_hoop,http://farm5.static.flickr.com/4027/4718058868_66d6c13e7a.jpg,1,2,2,,0.577350269,1,1.666666667,1
aerial_ladder,http://farm6.static.flickr.com/5263/5850112512_04294047a5.jpg,1,0,0,,0.577350269,,0.333333333,
aerial_ladder,http://farm8.static.flickr.com/7006/6637493547_1df0110922.jpg,1,0,1,,0.577350269,,0.666666667,
aerial_ladder,http://farm8.static.flickr.com/7419/8803370279_4b8bab53e2.jpg,1,2,0,,1,0.707106781,1,0.666666667
aerial_performance,http://farm4.static.flickr.com/3676/14243829496_c59ec4b675.jpg,-1,1,-1,,1.154700538,,-0.333333333,
aerial_performance,http://farm7.static.flickr.com/6142/5952084805_5ed2044764.jpg,1,,1,,0,,1,
aerial_performance,http://farm7.static.flickr.com/6214/6301418580_65cb369ae3.jpg,0,1,,,0.707106781,0.951189731,0.5,0.388888889
aerial_view,http://farm4.static.flickr.com/3879/14419092798_30e139d730.jpg,2,0,1,,1,,1,
aerial_view,http://farm6.static.flickr.com/5616/15521343052_aff9fd3c30.jpg,-1,2,1,,1.527525232,,0.666666667,
aerial_view,http://farm8.static.flickr.com/7482/15687683730_f463346a98.jpg,-1,0,0,,0.577350269,1.130388331,-0.333333333,0.444444445
affordable_homes,http://farm2.static.flickr.com/1046/4734003174_411246b844.jpg,0,2,0,,1.154700538,,0.666666667,
affordable_homes,http://farm9.static.flickr.com/8126/8659458251_bbb29e5fcb.jpg,0,0,1,,0.577350269,,0.333333333,
affordable_homes,http://farm9.static.flickr.com/8305/8008725772_f267733c1a.jpg,1,1,2,,0.577350269,0.833333333,1.333333333,0.777777778
alarm_clock,http://farm4.static.flickr.com/3009/3007085489_66a2f9f6ce.jpg,1,1,0,,0.577350269,,0.666666667,
alarm_clock,http://farm4.static.flickr.com/3199/2865249883_9037f2e4b9.jpg,0,1,1,,0.577350269,,0.666666667,
alarm_clock,http://farm4.static.flickr.com/3458/3362336562_df06347552.jpg,1,0,0,,0.577350269,0.527046277,0.333333333,0.555555556
altered_sign,http://farm3.static.flickr.com/2193/1543976901_704b8bb186.jpg,0,0,0,,0,,0,
altered_sign,http://farm4.static.flickr.com/3101/2876476518_8f2f33a65d.jpg,-1,-1,1,,1.154700538,,-0.333333333,
altered_sign,http://farm6.static.flickr.com/5317/13811236515_f608092700.jpg,1,2,0,,1,0.971825316,1,0.222222222
amateur_model,http://farm3.static.flickr.com/2800/13139662573_38472eaf21.jpg,1,1,2,,0.577350269,,1.333333333,
amateur_model,http://farm3.static.flickr.com/2901/14326409871_6a49227601.jpg,1,1,0,,0.577350269,,0.666666667,
amateur_model,http://farm7.static.flickr.com/6125/5929674357_62c25c1791.jpg,2,1,0,,1,0.707106781,1,1
amateur_sport,http://farm4.static.flickr.com/3112/5844356194_4fc85eecd9.jpg,0,0,0,,0,,0,
amateur_sport,http://farm7.static.flickr.com/6072/6066364381_7eeb5d6c6f.jpg,-1,0,0,,0.577350269,,-0.333333333,
amateur_sport,http://farm8.static.flickr.com/7287/9077737447_1973d970fa.jpg,1,1,0,,0.577350269,0.600925213,0.666666667,0.111111111
amazing_baby,http://farm3.static.flickr.com/2514/3826801853_d294915d93.jpg,-1,0,1,,1,,0,
amazing_baby,http://farm4.static.flickr.com/3317/3472162414_d5cd79cc57.jpg,0,1,1,,0.577350269,,0.666666667,
amazing_baby,http://farm4.static.flickr.com/3652/5701818971_587ccf8ecd.jpg,1,1,0,,0.577350269,0.726483157,0.666666667,0.444444445
amazing_capture,http://farm4.static.flickr.com/3002/2664662019_5a59643242.jpg,1,2,1,,0.577350269,,1.333333333,
amazing_capture,http://farm4.static.flickr.com/3199/2936182863_e5c87cd543.jpg,0,1,1,,0.577350269,,0.666666667,
amazing_capture,http://farm4.static.flickr.com/3573/3347950232_ecdb715079.jpg,0,2,0,,1.154700538,0.78173596,0.666666667,0.888888889
amazing_cars,http://farm3.static.flickr.com/2936/14199022716_150104871b.jpg,1,0,1,,0.577350269,,0.666666667,
amazing_cars,http://farm4.static.flickr.com/3930/15219495847_fc3911d4bd.jpg,1,1,2,,0.577350269,,1.333333333,
amazing_cars,http://farm8.static.flickr.com/7552/15793624248_218a1502f9.jpg,1,0,1,,0.577350269,0.600925213,0.666666667,0.888888889
amazing_circles,http://farm3.static.flickr.com/2484/3808280548_11a943ea0c.jpg,0,1,0,,0.577350269,,0.333333333,
amazing_circles,http://farm3.static.flickr.com/2689/4274076402_fb17564cef.jpg,1,0,1,,0.577350269,,0.666666667,
amazing_circles,http://farm4.static.flickr.com/3603/3338978804_e1f63c1a38.jpg,0,1,0,,0.577350269,0.527046277,0.333333333,0.444444444
amazing_details,http://farm6.static.flickr.com/5338/8791177168_df854d5e2b.jpg,1,1,1,,0,,1,
amazing_details,http://farm9.static.flickr.com/8015/7343283682_27ac73d448.jpg,0,1,2,,1,,1,
amazing_details,http://farm9.static.flickr.com/8303/7805442032_33355a6711.jpg,0,0,1,,0.577350269,0.666666667,0.333333333,0.777777778
amazing_flowers,http://farm2.static.flickr.com/1183/916953634_5b1d1989a5.jpg,1,1,0,,0.577350269,,0.666666667,
amazing_flowers,http://farm4.static.flickr.com/3047/5873358365_e72a3e0ea4.jpg,1,1,1,,0,,1,
amazing_flowers,http://farm4.static.flickr.com/3114/2710594282_d21b067826.jpg,0,0,0,,0,0.527046277,0,0.555555556
amazing_food,http://farm4.static.flickr.com/3832/9200265938_841505c843.jpg,0,1,0,,0.577350269,,0.333333333,
amazing_food,http://farm5.static.flickr.com/4137/4766773262_e263d2f6da.jpg,0,0,0,,0,,0,
amazing_food,http://farm8.static.flickr.com/7279/7636501782_31c40dafca.jpg,0,0,0,,0,0.333333333,0,0.111111111
amazing_grace,http://farm4.static.flickr.com/3117/2713919691_db45be73da.jpg,,0,0,,0,,0,
amazing_grace,http://farm4.static.flickr.com/3505/3285583307_2fb0c85022.jpg,0,2,0,,1.154700538,,0.666666667,
amazing_grace,http://farm4.static.flickr.com/3656/3588054240_1956c865c0.jpg,1,1,2,,0.577350269,0.88640526,1.333333333,0.666666667
amazing_hair,http://farm3.static.flickr.com/2190/2263519983_15f514f0ce.jpg,1,1,2,,0.577350269,,1.333333333,
amazing_hair,http://farm6.static.flickr.com/5241/5357956618_9fa11fe6ac.jpg,0,1,0,,0.577350269,,0.333333333,
amazing_hair,http://farm9.static.flickr.com/8033/8036046126_214239a98a.jpg,1,1,1,,0,0.600925213,1,0.888888889
